# Hyperfine coupling constants from   Bleaney, J. App. Phys., Vol. 34, No. 4 (1963), Table I.
# Ion	J	Isotope	I	aJ(calc)	P(calc, or exp where available)
Pr3+	4	141	2.5	4370	-3.0
Nd3+	4.5	143	3.5	-964	+0.49
		145	3.5	-599	+0.25
Sm3+	2.5	147	3.5	-605	-1.62
		149	3.5	-495	+0.48
Eu3+	0	0	0	0	0
Eu2+	7/2 	151	5/2	-360	-0.059
		153	5/2	-160	-0.15
Gd3+	7/2 	155	3/2	41	0
		157	3/2	56	0
Tb3+	6	159	3/2	3180	440
Dy3+	15/2	161	5/2 	-820	200
		163	5/2	1140	180
Ho3+	8	165	7/2	6500	150
Er3+	15/2	167	7/2	-940	-68
Tm3+	6	169	1/2	-2360	0
Yb3+	7/2	171	1/2 	3100	0
		173	5/2	-850	-146
Yb2+	0	0	0	0	0
